id,start,end,english,hindi
1,10.18,16.27,"Now, we'll explore a critical component of emotional intelligence, that is self-regulation.","Now, we'll explore a critical component of emotional intelligence, that is self-regulation."
2,17.12,20.46,"Imagine a bustling city, much like our daily lives.","Imagine a bustling city, much like our daily lives."
3,21.18,27.53,"Within the city, emotions are ever present, from joy to frustration, from calmness to anger.","Within the city, emotions are ever present, from joy to frustration, from calmness to anger."
4,28.42,33.92,"Now, picture an individual who's mastered the art of self-regulation.","Now, picture an individual who's mastered the art of self-regulation."
5,34.84,41.44,"Can you also imagine someone sitting peacefully, meditating while the world around them is moving?","Can you also imagine someone sitting peacefully, meditating while the world around them is moving?"
6,41.78,43.88,Let me ask you the question again.,Let me ask you the question again.
7,44.26,57.9,"What is self-regulation? Well, self-regulation is the ability to manage and control one's emotions, reactions, and behavior, even in the face of challenging situations.","What is self-regulation? Well, self-regulation is the ability to manage and control one's emotions, reactions, and behavior, even in the face of challenging situations."
8,59.68,67.98,"It's that calm demeanor in a crisis, that thoughtful response to criticism, and the resilience to bounce back from setbacks.","It's that calm demeanor in a crisis, that thoughtful response to criticism, and the resilience to bounce back from setbacks."
9,68.8,76.22,"In the Eastern world, we use the word ""sthita pragya"" or equanimity to explain this state.","In the Eastern world, we use the word ""sthita pragya"" or equanimity to explain this state."
10,77.82,87.72,"Before we understand how to practice self-regulation, let's understand why is self-regulation so vital, especially when leading self and others.","Before we understand how to practice self-regulation, let's understand why is self-regulation so vital, especially when leading self and others."
11,89.24,91.92,"Firstly, it cultivates emotional stability.","Firstly, it cultivates emotional stability."
12,92.72,96.34,"In the workplace, we are all aware emotions can run very high.","In the workplace, we are all aware emotions can run very high."
13,97.2,104.42,"Self-regulation helps the leaders maintain a stable emotional core, inspiring confidence in their team.","Self-regulation helps the leaders maintain a stable emotional core, inspiring confidence in their team."
14,105.54,109.02,"Secondly, it also fosters conflict resolution.","Secondly, it also fosters conflict resolution."
15,109.12,117.4,"Leaders who are skilled in self-regulation can mediate conflicts impartially, thus creating a harmonious work environment.","Leaders who are skilled in self-regulation can mediate conflicts impartially, thus creating a harmonious work environment."
16,118.52,123.46,"Now, let's explore the connection between self-regulation and personal effectiveness.","Now, let's explore the connection between self-regulation and personal effectiveness."
17,125.3,129.42,Imagine a scenario where you are faced with a crucial decision.,Imagine a scenario where you are faced with a crucial decision.
18,130.34,137.86,"Through self-regulation, you can maintain composure, think clearly, and make well-considered choices.","Through self-regulation, you can maintain composure, think clearly, and make well-considered choices."
19,139.16,141.92,Emotional resilience is another aspect.,Emotional resilience is another aspect.
20,142.0,144.72,Setbacks are part of any journey.,Setbacks are part of any journey.
21,145.74,152.42,"Self-regulation equips you to bounce back, learn from the failures, and keep moving forward.","Self-regulation equips you to bounce back, learn from the failures, and keep moving forward."
22,153.07,164.62,"You will notice current research is showing lot more importance to emotional resilience for the leaders, thus making them more prominent and more visible in the professional forums.","You will notice current research is showing lot more importance to emotional resilience for the leaders, thus making them more prominent and more visible in the professional forums."
23,165.58,171.86,"Moreover, self-regulation enhances empathy, a key component of social awareness.","Moreover, self-regulation enhances empathy, a key component of social awareness."
24,172.92,180.58,"When you are in control of your own emotions, you can better understand and connect with the emotion of others.","When you are in control of your own emotions, you can better understand and connect with the emotion of others."
25,181.34,186.14,"In conclusion, self-regulation is not just about suppressing emotions.","In conclusion, self-regulation is not just about suppressing emotions."
26,186.76,195.56,"It's about mastering them, leading to emotional stability, improved relationships, and of course, effective decision making.","It's about mastering them, leading to emotional stability, improved relationships, and of course, effective decision making."
